,Title,Date_upload,Views,Likes,Month
130,Inauguration : 4th International Conference - ICMMM - 2023,2023-03-24,1724,48,Mar
131,B. Tech Admission | VITEEE 2023 | Last Date to Apply : March 31 | Apply Now,2023-03-21,505690,22,Mar
132,VIT Riviera – the biggest fest in South India | Join today | VITEEE 2023,2023-03-21,64032,36,Mar
133,VITMEE 2023 | M Tech Applications Open |  Apply Now,2023-03-17,1853,22,Mar
134,Computer Science & Engineering (CSE) | Aditya Bansal | VITEEE 2023 | Apply Now,2023-03-16,403139,478,Mar
135,School of Mechanical Engineering | Tarsh Manohar | VITEEE 2023 | Apply Now,2023-03-16,249740,334,Mar
136,Last Date to Apply for VIT MBA : 05-March-2023,2023-03-01,79175,140,Mar
137,Highlights of Day 4 Riviera 2023 | Events at VIT | Day 4 Riviera 2023,2023-02-27,5773,69,Feb
138,Riviera 2023 - Valedictory,2023-02-26,17548,433,Feb
139,Highlights of Day 3 Riviera 2023 | Events at VIT | Day 3 Riviera 2023,2023-02-26,3498,58,Feb
140,Highlights of Day 2 Riviera 2023 | Events at VIT | Day 2 Riviera 2023,2023-02-25,5044,79,Feb
141,Highlights of Day 1 Riviera 2023  |  Events at VIT |   Day 1 Riviera 2023,2023-02-24,9807,163,Feb
142,"Riviera 2023 - Inauguration  (23rd - 26th February, 2023)",2023-02-23,7283,226,Feb
143,Riviera 2023 Count Down Starts | 1 Day to go | Events at VIT,2023-02-22,2917,57,Feb
144,Zumba 2023 | Riviera 2023 | Revive The Era | Students Welfare,2023-02-17,5431,106,Feb
145,Group Dances | PRIMAVERA2022 | Life At VIT | Students Welfare,2023-02-12,3894,84,Feb
146,தமிழியக்கம் விஐடி பல்கலைக் கழகம் இணைத்து வழங்கும் இனமானப் பேராசிரியர் க.அன்பழகன் நூற்றாண்டு விழா,2023-02-11,1879,45,Feb
147,B.Tech Student Testimonial | VITEEE 2023 Applications Open for B.Tech Programmes,2023-02-11,2252,67,Feb
148,Happy International Day of Women and Girls in Science,2023-02-11,855,27,Feb
149,Pre-Riviera 2023 Kabbadi | VIT Sports Event,2023-02-10,2439,49,Feb
150,VIT MBA Student Testimonial | VIT Business School | MBA 2023 Admissions Open,2023-02-10,2854,24,Feb
151,CM Speech @ VIT | Part 7,2023-02-05,1320,18,Feb
152,CM Speech @ VIT | Part 6,2023-02-05,1263,19,Feb
153,CM Speech @ VIT | Part 5,2023-02-04,1155,22,Feb
154,CM Speech @ VIT | Part 4,2023-02-04,2610,56,Feb
155,CM Speech @ VIT | Part 2,2023-02-03,1860,32,Feb
156,CM Speech @ VIT | Part 3,2023-02-03,1369,18,Feb
157,CM Speech @ VIT,2023-02-02,3940,128,Feb
158,The Tamil Nadu Honourable Chief Minister's visit to VIT on 1st Feb 2023 (Wednesday),2023-02-01,78067,1453,Feb
159,Campus Life @ VIT,2023-01-29,62612,2040,Jan
160,M Tech 2023 Admissions Open |  PG Engineering |  VITMEE | Apply Now,2023-01-28,202684,336,Jan
161,VITAA Day 2023,2023-01-26,3405,75,Jan
162,74th Republic Day Celebrations,2023-01-26,4525,160,Jan
163,MBA 2023 Admissions Open | MBA Applications | MBA Programme @ VITBS | VIT,2023-01-26,25504,26,Jan
164,National Tourism Day | Students from the School of Hotel & Tourism Management (HOT),2023-01-25,765,20,Jan
165,ADVOCATE V.C.RAJAGOPALACHARIAR (VCR) MEMORIAL LECTURE,2023-01-24,1449,33,Jan
166,MBA 2023 Admissions Open | MBA Applications | Last Date to Apply : 05-March-2023,2023-01-23,54293,23,Jan
167,NCC Students | Parade | Republic day | JaiHind,2023-01-23,2739,52,Jan
168,Solo Singers | Western Solo Singing | PRIMAVERA 2022 |  Performers of VIT,2023-01-22,1244,25,Jan
169,Riviera 2023 | The Riviera Phenomenon | Expo 2023 | TheHypeisReal,2023-01-20,16665,751,Jan
170,MBA 2023 Admissions Open | MBA Applications | Last Date to Apply : 05-March-2023,2023-01-15,57354,57,Jan
171,VIT wishes a very Happy Pongal,2023-01-15,6255,189,Jan
172,Winner of Western Solo Dance | PrimaVera2022,2023-01-14,7408,121,Jan
173,VITAA DAY | Alumni reunion | Get together,2023-01-13,761,7,Jan
174,Pongal Festival,2023-01-11,2243,79,Jan
175,Our Hon'ble Chancellor Dr. G. Viswanathan exclusive interview on the News7 Tamil channel,2023-01-10,22526,375,Jan
176,Riviera2023 Coming Soon | Vellore Institute of Technology | The Riviera Phenomenon | Events | Fests,2023-01-08,179531,745,Jan
177,Hand Painting competition in VIT | PRIMAVERA 2022 | VIT Painters,2023-01-07,754,7,Jan
178,MBA 2023 Admissions Open | MBA Applications | MBA Programme @ VITBS | VIT,2023-01-07,80509,155,Jan
179,VITEEE 2023 Applications | B.Tech Admissions | VIT Engineering Entrance Exam,2023-01-07,2022271,1256,Jan
180,Watch this Our Hon'ble Chancellor Dr. G. Viswanathan exclusive interview on the News7 Tamil channel,2023-01-06,1629,33,Jan
181,New Year Wishes from VIT Students | VIT Wishes you Happy New Year 2023,2023-01-01,3682,74,Jan
182,"New Year wishes from our Hon'ble Chancellor, Dr. G. Viswanathan (Tamil)",2023-01-01,1509,45,Jan
183,VIT Placement Records | Placement at VIT | Placement Statistics | VITEEE 2023,2022-12-31,144486,311,Dec
184,"New Year Wishes from our Hon'ble Chancellor, Dr. G. Viswanathan",2022-12-30,3668,164,Dec
185,2022 Ranking and Accreditation | VIT Milestones | VITEEE 2023 Applications Open,2022-12-29,45090,36,Dec
186,Prima Vera2022 | Solo Singing | Eastern Music | Performers of VIT,2022-12-25,1164,33,Dec
187,VITEEE 2023 Applications | B.Tech Admissions | VIT Engineering Entrance Exam,2022-12-23,19828,21,Dec
188,"MBA Applications Open | CAT, XAT, MAT, NMAT, GMAT, CMAT, ATMA Exams Score Considered for Admission",2022-12-23,348267,267,Dec
189,National Mathematics Day 2022 |  Students and Faculty Speaks about Importance of Mathematics | VIT,2022-12-22,868,30,Dec
190,Goa Liberation Day |  VIT wishes the students from Goa,2022-12-19,956,25,Dec
191,Hackathon on Tamil Computing,2022-12-19,737,17,Dec
192,VIT | PrimaVera 2022 | Winner of the Eastern dance (Solo),2022-12-17,2479,66,Dec
193,VIT Engineering Entrance Examination | 2023 Applications Open | B.Tech 4 Year Programmes,2022-12-16,58735,66,Dec
194,VITEEE 2023  | How to apply | VIT Engineering Entrance Examination 2023 |  B. Tech. Admissions,2022-12-12,79666,1056,Dec
195,B.Tech 2023 Admissions  | UG Engineering Applications | VITEEE 2023 |  Engineering Admissions @ VIT,2022-12-09,147046,254,Dec
196,VIT wishes our Hon'ble Chancellor Birthday,2022-12-08,1503,68,Dec
197,Vibrant Campus Life at VIT | B.Tech 2023 Admissions Open | VITEEE 2023,2022-12-04,1297,34,Dec
198,MBA 2023 | Admissions | Application Open | Apply Now | VITBS | VIT,2022-12-01,56852,28,Dec
199,VITEEE 2023 Applications open for B.Tech Programmes,2022-11-22,1614252,49,Nov
200,VIT Vellore Campus | The kaleidoscopic views of our boys' hostel | Hostels at VIT,2022-11-20,1655,51,Nov
201,Inauguration of student council 2022-23,2022-11-15,1921,34,Nov
202,School of InformationTechnology and Engineering (SITE) hosted a 'Code-A-Thon' event | Events at VIT,2022-11-12,1934,53,Nov
203,AICTE Distinguished Chair Professor Lecture on Emerging Technologies and Technology Foresight,2022-11-10,1622,45,Nov
204,Happy Uttarakhand Divas | Uttarakhand Foundation Day | Uttarakhand Day,2022-11-09,668,34,Nov
205,VIT Vellore Campus in Rainy Season | Student's Life in VIT Campus,2022-11-06,1540,59,Nov
206,27th National Conference on IC Engines and Combustion (NCICEC 2022) - Inaugural Function,2022-11-05,1072,37,Nov
207,Students Life in VIT | Campus Life | Dance Club | Student Activities,2022-10-29,4229,115,Oct
208,VIT wishes Happy Deepavali to everyone,2022-10-24,2331,99,Oct
209,Inauguration of Pavendhar Bharathidasan Tamil Literary Association,2022-10-19,2427,55,Oct
210,Roverx Team |  VIT Students Team | Robotics Project | Space Exploration |  graVITas 2022,2022-10-13,1403,36,Oct
211,"Gravitas22 Team Work | Techno Event | fun, frolic, and frenzy moments",2022-10-11,5455,157,Oct
212,Festives of VIT | Garba Night | Campus Life | Student Activities | Life at VIT,2022-10-08,3883,75,Oct
213,World Space Week (WSW) - 2022,2022-10-07,570,21,Oct
214,Freshers Hockey Tournament in VIT,2022-10-06,948,25,Oct
215,Robot Doing Pooja | Ayudha Poojai | Robotics | Automation,2022-10-04,16174,474,Oct
216,VIT wishes Happy Dussehra to all!,2022-10-03,2349,85,Oct
217,graVITas 2022 - An International Techno-Management Knowledge Carnival (Valedictory),2022-10-02,3578,90,Oct
218,graVITas 2022 - An International Techno-Management Knowledge Carnival (Inauguration),2022-09-30,9342,212,Sep
219,VIT Placements |  1'st Institution in India to cross 3000+ Super Dream Offers,2022-09-27,26612,126,Sep
220,graVITas' 22 | India's Largest Techno Management Fest |  VIT,2022-09-23,15403,622,Sep
221,graVITas' 22 | Unleash your Genius | VIT,2022-09-21,9961,422,Sep
222,STARS Induction -  First year UG Programme (2022 Batch),2022-09-18,3670,92,Sep
223,Happy Parents | Happy with VIT,2022-09-18,5483,109,Sep
224,Fresher's Induction Programme  (2022 Batch) - 17-Sep-2022 (Saturday) - All 2 year PG Programmes,2022-09-17,5524,130,Sep
225,Fresher's Induction Programme  (2022 Batch) - 16-Sep-2022 - All 3 year UG & 5 Year Int. Programmes,2022-09-16,8037,154,Sep
226,Fresher's Induction Programme  (2022 Batch) - 14-Sep-2022 (Wednesday),2022-09-14,12912,270,Sep
227,Happy Parents | Happy with VIT,2022-09-13,5167,113,Sep
228,"Fresher's Induction Programme  (2022 Batch) - 12-Sep-2022, Monday",2022-09-12,16736,336,Sep
229,Fresher's Induction Programme  (2022 Batch) - 09-Sep-2022 (Friday),2022-09-09,19260,381,Sep
230,Fresher's Induction Programme  (2022 Batch) - 07-Sep-2022 (Wed),2022-09-07,57458,917,Sep
231,Teachers' Day | Special Video | VIT,2022-09-05,4653,141,Sep
232,Happy Ganesh Chaturthi | VIT,2022-08-30,3380,142,Aug
233,The joys of campus life | Life @ VIT,2022-08-23,3618,125,Aug
234,37th Annual Convocation,2022-08-18,41036,976,Aug
235,75th Independence Day Celebration,2022-08-15,11437,393,Aug
236,VITEEE 2023 | B. Tech. Application Open |  VIT Placement offer of 1.2 Crores per annum from MOTORQ,2022-08-09,30902,665,Aug
237,Nostalgic Journey from VEC to VIT | The rewinding and revisiting of memories of the #Batchof1997,2022-08-04,4698,68,Aug
238,Pre placement talk by Silicon Labs | Campus Hiring 2023  | VIT,2022-07-28,11935,154,Jul
239,Remembrance of Dr A.P.J. Abdul Kalam | VIT,2022-07-27,1276,61,Jul
240,Reunion of 1997 passed out Batch,2022-07-24,3183,113,Jul
241,VITEEE 2022 | B.Tech. | Counselling Process | Choice Filling | Seat Allotment | Fee Details - Hindi,2022-07-12,15700,193,Jul
242,VITEEE 2022 | B.Tech. | Counselling Process | Choice Filling | Seat Allotment | Fee Details,2022-07-08,91441,1360,Jul
243,"Bhujangasana pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",2022-06-21,493,8,Jun
244,"Pavanamuktasana pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",2022-06-21,323,5,Jun
245,"Vakrasana Pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",2022-06-21,228,4,Jun
246,"Vrikshasana pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",2022-06-21,224,9,Jun
247,"Tadasana pose by  Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",2022-06-16,554,11,Jun
248,"Prof. Seeram Ramakrishna, a doctorate from the prestigious Cambridge University visited VIT",2022-06-15,876,18,Jun
249,Career in Design Webinar | VIT| V-SIGN,2022-06-10,585,10,Jun
250,Ethics and Values - Virtual Poster Exhibition on Life Beyond Pandemic - SSL,2022-06-09,1262,45,Jun
251,World Environment Day | VIT,2022-06-07,502,27,Jun
252,International Admissions 2022-23 | Vellore Institute of Technology | India| Vellore | Tamil Nadu,2022-05-31,1489,42,May
253,STARS DAY 2022 (5th Annual STARS ALUMNI MEET),2022-05-29,8623,284,May
254,B.Sc. (Hons.) Agriculture | VIT | Applications Open,2022-05-20,2676,47,May
255,VIT School of Hotel & Tourism Management (HOT) | B.Sc. Catering and Hotel Management | Apply now,2022-05-13,1730,39,May
256,"Ms. Poorna Sri, VIT on winning the Silver Medal in the Weightlifting",2022-04-28,1496,49,Apr
257,VITEEE 2022 Preparation Tips | VITEEE 2022 Exam Pattern | VITEEE Exam Dates | VITEEE Counselling,2022-04-18,15647,553,Apr
258,VIT | B.Tech. Admissions | VITEEE 2022 | Course Details | Campus Life | Placements,2022-04-13,23324,503,Apr
259,"Special Guest Lecture on “Moving beyond Doctorate: Convert your thesis in to a Startup Venture """,2022-04-08,775,19,Apr
260,Placement Testimonial | Vellore Institute of Technology,2022-04-05,3957,123,Apr
261,Placement Testimonial | Vellore Institute of Technology,2022-03-30,4830,106,Mar
262,Placement Testimonials | Vellore Institute of Technology,2022-03-30,6955,77,Mar
263,Placement Testimonials | Vellore Institute of Technology,2022-03-30,1514,21,Mar
264,Placement Testimonial | Vellore Institute of Technology,2022-03-25,1885,39,Mar
265,Happiness Day 2022 @ VIT,2022-03-24,13935,421,Mar
266,Holi Celebrations @ VIT,2022-03-24,4138,73,Mar
267,International women's day 2022,2022-03-24,465,18,Mar
268,International women's day 2022 | Time to celebrate the women at VIT!,2022-03-24,491,7,Mar
269,VIT Riviera – the biggest fest in South India | Join today | VITEEE 2022,2022-03-24,9068,181,Mar
270,VIT Chancellor Dr. G Viswanathan | International Women's Day 2022,2022-03-14,2226,63,Mar
271,Inaugural - Invictus 2022,2022-03-10,1099,40,Mar
272,VITEEE 2022 | B.Tech. Admissions 2022  | Apply Now,2022-02-16,5498,118,Feb
273,VIT Chancellor Dr. G Viswanathan on World Radio Day - 2022 | VIT Community Radio,2022-02-13,2869,75,Feb
274,B.Tech. Admissions | VITEEE 2022 | Applications Open,2022-02-11,2411,30,Feb
275,VITEEE 2022 |  B.Tech. Applications open | Apply Now,2022-02-11,2469,40,Feb
276,VIT B. Tech. Admissions | VITEEE 2022,2022-02-11,725,9,Feb
277,Last day to apply for the VITBEE applications. Apply now!,2022-01-31,791,21,Jan
278,73rd Republic Day Celebration,2022-01-26,5193,286,Jan
279,Virtual 8th International Conference on Mathematics and Computing - (ICMC-2022),2022-01-06,1844,58,Jan
280,Periyar E V R Central Library - VIT,2022-01-04,8388,181,Jan
281,Virtual Poster Exhibition - 2021,2021-11-27,3176,165,Nov
282,ICTAAS2021 - Inauguration,2021-11-12,1557,58,Nov
283,36th Annual Convocation,2021-09-28,33849,1266,Sep
284,Student Induction for First year B.Tech Programme (2021 Batch),2021-09-06,51931,1599,Sep
285,"Facilities | Centre for Biomaterials, Cellular and Molecular Theranostics (CBCMT) | VIT",2021-08-25,3016,57,Aug
286,UG Science and Humanities Choice filling - Video,2021-08-22,2631,50,Aug
287,75th Independence Day Celebration,2021-08-15,3652,194,Aug
288,MBA Orientation Program (2021-2023 Batch),2021-07-14,4964,129,Jul
289,An interview from Industry Leader on Hotel and Tourism Management Career,2021-07-03,1215,25,Jul
290,Toycathon 2021 - Inauguration,2021-06-22,2129,72,Jun
291,VIT requests all student aspirants who are appearing for the VITEEE 2021 Exams to follow the rules,2021-05-31,16408,460,May
292,Programmes Offered in 2021-22,2021-05-22,2627,88,May
293,Only 1 day left for VITEEE 2021,2021-05-19,2034,44,May
294,VIT  -  COVID19 Awareness Programme,2021-05-08,2366,71,May
295,Vellore Institute of Technology Live Stream,2021-03-17,7154,240,Mar
296,International Women's Day,2021-03-17,2459,114,Mar
297,6th Biennial International Group Theory Conference – 2021,2021-03-04,904,30,Mar
298,ICMDCS 2021 -  Inaugural Function,2021-02-12,811,25,Feb
299,72nd Republic Day Celebration,2021-01-26,1488,57,Jan
300,Virtual Poster Exhibition 2021,2021-01-13,3435,95,Jan
301,Walkthrough video of VIT-Vermicomposting unit,2020-11-11,2016,49,Nov
302,Walkthrough video of new ladies hostel blocks “Marie Curie Block” & “Dr. Muthulakshmi Reddy Block”,2020-11-11,76964,966,Nov
303,"Inauguration of Ladies Hostels  “Marie Curie”, ""Dr. Muthulakshmi Reddy"" Block & Vermicomposting Unit",2020-11-11,2736,45,Nov
304,35th Annual Convocation - 2020,2020-10-17,5489,39,Oct
305,STARS 2020 Orientation,2020-10-17,2421,80,Oct
306,graVITas 2020 - Valedictory Session,2020-10-04,1935,52,Oct
307,graVITas 2020 - Inaugural Session,2020-10-01,3120,140,Oct
308,VIT School of Design (V-SIGN),2020-09-24,13296,235,Sep
309,VITian Day 2020!,2020-09-11,1558,43,Sep
310,VIT University Day 2020,2020-09-09,4814,85,Sep
311,"Hostels, VIT",2020-09-07,109162,1017,Sep
