,Title,Date_upload,Views,Likes,Month
280,VIT AP University Dual Degree Of BA MA In Public Services Career Times Hmtv,2021-05-17,399,8.0,May
281,Intellectual Property Rights and its Process for Academicians DAY 2  Session 5 V-LAUNCH,2021-04-28,115,4.0,Apr
282,Intellectual Property Rights and its Process for Academicians Day 2 Session 4 V-LAUNCH,2021-04-27,89,2.0,Apr
283,Intellectual Property Rights and its Process for Academicians Day 2 Session 1 V-LAUNCH VIT AP,2021-04-27,154,3.0,Apr
284,Intellectual Property Rights and its Process for Academicians Day 1 - Session 2 by V-LAUNCH - VIT AP,2021-04-27,206,7.0,Apr
285,Intellectual Property Rights and its Process for Academicians Day 1 - Session 1 by V-LAUNCH - VIT AP,2021-04-26,254,6.0,Apr
286,2-Day National workshop- Chemistry in Everyday Life Day 1 17.04.2021,2021-04-17,181,7.0,Apr
287,TEDX VITAP 2021,2021-04-10,2492,61.0,Apr
288,National Workshop on Recent trends and opportunities in Physics by Dept of Physics VIT AP University,2021-04-10,217,7.0,Apr
289,Technical Report Writing using LaTeX Valedictory session 09.04.2021 VIT AP UNIVERSITY  - SENSE,2021-04-09,291,11.0,Apr
290,Technical Report Writing using LaTeX Day 5 09.04.2021 VIT AP University,2021-04-09,368,11.0,Apr
291,Technical Report Writing using LaTeX Day 4    08.04.2021,2021-04-08,531,15.0,Apr
292,"Technical Report Writing using LaTeX Day 3 07.04,2021",2021-04-07,630,20.0,Apr
293,Technical Report Writing using LaTeX Day 2 - 06.04.2021,2021-04-06,1174,26.0,Apr
294,Technical Report Writing using LaTeX DAY 1 05.04.2021,2021-04-05,2059,48.0,Apr
295,Technical Report Writing using LaTeX DAY 1,2021-04-05,145,0.0,Apr
296,VSB MOU with DIGITAL SCHOLAR 17.03.2021,2021-03-17,143,2.0,Mar
297,VIT-AP UNIVERSITY- SAS -NATIONAL WORKSHOP ON DATA SCIENCE & ADVANCED COMPUTING,2021-03-13,438,18.0,Mar
298,INTERNATIONAL WOMEN'S DAY VIT AP University 08.03.2021,2021-03-08,677,26.0,Mar
299,"VIT AP and UMD, USA 2+2 Program",2021-02-23,397,10.0,Feb
300,"VIT AP and 2 Plus 2 Program ASU, USA",2021-02-23,678,10.0,Feb
301,Examination Orientation for MTSE/VSL Freshers 2020,2020-09-29,838,2.0,Sep
302,Orientation Programme For MTSE/VSL Freshers Day-2,2020-09-29,672,11.0,Sep
303,"Hostel Policy, Clubs and Chapters Orientation For MTSE/VSL Freshers 2020",2020-09-28,1621,32.0,Sep
304,Orientation Programme For MTSE/VSL Freshers Day-1,2020-09-28,708,15.0,Sep
305,Mindhacks to be a happier you - Dr.Jini,2020-09-26,745,18.0,Sep
306,VIT-AP B.Tech Orientation Programme For Fresher's 2020 - Day4 Continue,2020-09-26,1502,22.0,Sep
307,VIT-AP B.Tech Orientation Programme For Fresher's 2020 - Day4,2020-09-26,1666,23.0,Sep
308,Yoga for Holistic Health - Bharat (Instructor Isha Yoga),2020-09-25,958,22.0,Sep
309,VIT-AP B.Tech Orientation Programme For Fresher's 2020 - Day3,2020-09-25,2811,57.0,Sep
310,There is No Reset For Your Body - Dr. Sandhya,2020-09-24,886,16.0,Sep
311,VIT-AP B.Tech Orientation Programme For Fresher's 2020 - Day2,2020-09-24,3061,51.0,Sep
312,VIT AP Student Welfare Session For Freshers 2020 Day 1,2020-09-23,7523,112.0,Sep
313,VIT-AP B.Tech Orientation Programme For Fresher's 2020 - Day1,2020-09-23,5428,93.0,Sep
314,VSL   VIT AP SCHOOL OF LAW   INAUGURATION 10 09 2020,2020-09-11,721,13.0,Sep
315,VIT-AP 2020,2020-08-19,9237,170.0,Aug
316,VIT AP Video 2019,2020-03-27,13470,178.0,Mar
317,VIT AP Engg Clinics,2020-03-25,1083,17.0,Mar
318,VIT AP 1min,2020-03-24,1167,32.0,Mar
319,TEDxVITAP 2019,2020-03-18,804,21.0,Mar
320,International Womens Day 2020,2020-03-18,438,10.0,Mar
321,VITopia-2020  sports teaser,2020-02-27,1807,45.0,Feb
322,00086,2019-09-19,328,9.0,Sep
323,E3,2019-05-07,293,7.0,May
324,Lalith babu Chess Grand Master@VITAP University,2019-05-04,3158,89.0,May
325,VIT AP V TAPP 2019 1,2019-04-10,2168,19.0,Apr
326,10 04 19 AMT VITEEE 2019,2019-04-10,323,4.0,Apr
327,VIT AP VITOPIA Final New,2019-03-30,13667,144.0,Mar
328,VTAPP Technical Fest Telecasted slot on 18 03 19 10TV,2019-03-28,2745,7.0,Mar
329,VITopia  New promo with Jingle,2019-01-01,479,8.0,Jan
330,VITopia-2019 SS Thaman Wishes,2018-12-31,821,34.0,Dec
331,vitopia 2nd Edition,2018-12-31,294,13.0,Dec
332,72nd Independence Day Culturals  at VIT-AP,2018-08-25,608,18.0,Aug
333,Dr  Indira J  Parikh on Liberal Education to BBA,2018-06-12,11651,13.0,Jun
334,M Tech Admission: 5 Year Integrated M Tech in Software Engineering at VIT Amaravati,2018-05-22,107278,150.0,May
335,BBA at VIT Amaravati School of Business,2018-05-09,2288,40.0,May
336,BBA Course Details | Bachelor of Business Administration Program,2018-04-24,306110,33.0,Apr
337,VIT-AP Annual Report 2017-2018,2018-03-26,6346,40.0,Mar
338,"VIT-AP, Amaravati",2018-03-25,2020,22.0,Mar
339,VITOPIA 2018 Promo,2018-02-03,2217,31.0,Feb
340,#VITAPUNIVERSITY Inaugural event,2018-01-31,1714,12.0,Jan
341,Vitopia #VITAPUNIVERSITY,2018-01-30,2208,72.0,Jan
342,Social Work - Teaching the rural Students - VIT AP,2018-01-30,601,3.0,Jan
343,Social Work - VIT AP,2018-01-30,1098,14.0,Jan
344,Meet the donors-  Justin Abraham and  Sai Making a difference the #VITAPway,2018-01-30,193,3.0,Jan
345,Meet the donor : Harsh Vardhan Kushwaha VIT - AP,2018-01-30,201,3.0,Jan
346,Meet the donor : Aryan Rajesh,2018-01-30,138,3.0,Jan
347,"Meet the donor:  Parijat Chatterjee, VIT-AP University",2018-01-30,173,0.0,Jan
348,"Meet the donor : Suraj Ravishankar, VIT-AP University",2018-01-30,121,0.0,Jan
349,"Meet the donor : Vivek, VIT-AP University",2018-01-30,217,3.0,Jan
350,"Meet the donor : Rohit Bhargav, VIt-AP",2018-01-30,125,0.0,Jan
351,Making a difference the #VITAPway Meet the donor : Aditya Iyer,2018-01-30,95,0.0,Jan
352,All About VIT AP - Thank You Ankur Rungta for the Initiative,2018-01-30,543,10.0,Jan
353,MAHAA ICON  News #VITAPUNIVERSITY,2018-01-30,244,5.0,Jan
354,Republic Day Flag Hoisting at VIT-AP VITAPuniversity,2018-01-30,476,6.0,Jan
355,Republic  Day Food Fun #VITAPuniversity,2018-01-30,362,10.0,Jan
356,VIT-AP Campus life,2018-01-27,10192,84.0,Jan
357,VIT-AP Engineering Clinics,2018-01-03,3575,43.0,Jan
358,VIT AP   Social Work 480p 1,2018-01-03,457,3.0,Jan
359,VIT AP Campus,2018-01-03,5318,31.0,Jan
360,VIT AP Campus Glimpses,2018-01-03,998050,156.0,Jan
