,Title,Date_upload,Views,Likes,Month,Campus
107,VITEEE 2023 | B.Tech Online Counselling Process | Choice Filling | Seat Allotment | Fee Structure,28-04-2023,169245,1709,Apr,Vellore
108,Robotics lab at the School of Mechanical Engineering | Innovation | Mechanical Engineering,24-04-2023,1177,18,Apr,Vellore
109,2023-24 Admissions Open for B.Arch 5 Year Programme,22-04-2023,53522,20,Apr,Vellore
110,"Ms. Maya Sreekumar, VP - HR & Head of Operations, Cognizant, Coimbatore, Speaks about VIT",20-04-2023,1450,24,Apr,Vellore
111,Demo day for Lean Start-up Management | Start up business | Entrepreneur,20-04-2023,2897,62,Apr,Vellore
112,Career Counselling sessions organised by our Career Development Centre,19-04-2023,587,15,Apr,Vellore
113,VITEEE aspirants discussing their VITEEE 2023 Experience,19-04-2023,20063,122,Apr,Vellore
114,"Hon'ble Justice D. Murugesan, former Chief Justice of Delhi High Court, speaks about VIT",19-04-2023,841,19,Apr,Vellore
115,VIT wishes you a Happy Tamil New Year,13-04-2023,500,21,Apr,Vellore
116,VIT signed a strategic MoU with NSE Academy Limited,11-04-2023,1174,20,Apr,Vellore
117,University Day & Annual Sports Day 2023,10-04-2023,9424,216,Apr,Vellore
118,Student Testimonial - B.Tech Computer Science and Engineering (Internet of Things),05-04-2023,4716,85,Apr,Vellore
119,Student Testimonial - B.Tech Computer Science and Engineering (Block Chain Technology),05-04-2023,2026,33,Apr,Vellore
120,Student Testimonial - B.Tech. Computer Science and Engineering (Information Security),04-04-2023,3009,70,Apr,Vellore
121,"Design-A-Thon"" on ""Sustainable Solutions and Resilient Infrastructure | School of Civil Engineering",04-04-2023,574,12,Apr,Vellore
122,B.Tech CSE Student Testimonial | Last Date to Apply for VITEEE : 5th April 2023,02-04-2023,7893,53,Apr,Vellore
123,VITEEE 2023 | SLOT BOOKING | ONLINE TEST BOOKING SYSTEM (OTBS),02-04-2023,158079,2075,Apr,Vellore
124,B.Tech Student Testimonial |  Last Date to Apply for VITEEE : 31st March 2023,30-03-2023,1467,34,Mar,Vellore
125,B. Tech Admission | VITEEE 2023 | Last Date to Apply : March 31 | Apply Now,30-03-2023,350094,29,Mar,Vellore
126,Department of Control & Automation | School of Electrical Engineering (SELECT),29-03-2023,630,11,Mar,Vellore
127,Department of Control & Automation | School of Electrical Engineering (SELECT),29-03-2023,948,17,Mar,Vellore
128,Department of Power Electronics | School of Electrical Engineering (SELECT),29-03-2023,123698,62,Mar,Vellore
129,Inauguration : 4th International Conference - ICMMM - 2023,24-03-2023,1721,48,Mar,Vellore
130,B. Tech Admission | VITEEE 2023 | Last Date to Apply : March 31 | Apply Now,21-03-2023,505689,22,Mar,Vellore
131,VIT Riviera – the biggest fest in South India | Join today | VITEEE 2023,21-03-2023,64025,36,Mar,Vellore
132,VITMEE 2023 | M Tech Applications Open |  Apply Now,17-03-2023,1828,22,Mar,Vellore
133,Computer Science & Engineering (CSE) | Aditya Bansal | VITEEE 2023 | Apply Now,16-03-2023,403091,476,Mar,Vellore
134,School of Mechanical Engineering | Tarsh Manohar | VITEEE 2023 | Apply Now,16-03-2023,249724,333,Mar,Vellore
135,Last Date to Apply for VIT MBA : 05-March-2023,01-03-2023,79173,140,Mar,Vellore
136,Highlights of Day 4 Riviera 2023 | Events at VIT | Day 4 Riviera 2023,27-02-2023,5713,69,Feb,Vellore
137,Riviera 2023 - Valedictory,26-02-2023,17475,432,Feb,Vellore
138,Highlights of Day 3 Riviera 2023 | Events at VIT | Day 3 Riviera 2023,26-02-2023,3494,58,Feb,Vellore
139,Highlights of Day 2 Riviera 2023 | Events at VIT | Day 2 Riviera 2023,25-02-2023,5038,79,Feb,Vellore
140,Highlights of Day 1 Riviera 2023  |  Events at VIT |   Day 1 Riviera 2023,24-02-2023,9781,163,Feb,Vellore
141,"Riviera 2023 - Inauguration  (23rd - 26th February, 2023)",23-02-2023,7271,226,Feb,Vellore
142,Riviera 2023 Count Down Starts | 1 Day to go | Events at VIT,22-02-2023,2915,57,Feb,Vellore
143,Zumba 2023 | Riviera 2023 | Revive The Era | Students Welfare,17-02-2023,5410,106,Feb,Vellore
144,Group Dances | PRIMAVERA2022 | Life At VIT | Students Welfare,12-02-2023,3887,84,Feb,Vellore
145,தமிழியக்கம் விஐடி பல்கலைக் கழகம் இணைத்து வழங்கும் இனமானப் பேராசிரியர் க.அன்பழகன் நூற்றாண்டு விழா,11-02-2023,1878,45,Feb,Vellore
146,B.Tech Student Testimonial | VITEEE 2023 Applications Open for B.Tech Programmes,11-02-2023,2252,67,Feb,Vellore
147,Happy International Day of Women and Girls in Science,11-02-2023,855,27,Feb,Vellore
148,Pre-Riviera 2023 Kabbadi | VIT Sports Event,10-02-2023,2433,49,Feb,Vellore
149,VIT MBA Student Testimonial | VIT Business School | MBA 2023 Admissions Open,10-02-2023,2838,24,Feb,Vellore
150,CM Speech @ VIT | Part 7,05-02-2023,1320,18,Feb,Vellore
151,CM Speech @ VIT | Part 6,05-02-2023,1262,19,Feb,Vellore
152,CM Speech @ VIT | Part 5,04-02-2023,1153,22,Feb,Vellore
153,CM Speech @ VIT | Part 4,04-02-2023,2606,56,Feb,Vellore
154,CM Speech @ VIT | Part 2,03-02-2023,1856,32,Feb,Vellore
155,CM Speech @ VIT | Part 3,03-02-2023,1366,18,Feb,Vellore
156,CM Speech @ VIT,02-02-2023,3924,128,Feb,Vellore
157,The Tamil Nadu Honourable Chief Minister's visit to VIT on 1st Feb 2023 (Wednesday),01-02-2023,78034,1452,Feb,Vellore
158,Campus Life @ VIT,29-01-2023,61465,2015,Jan,Vellore
159,M Tech 2023 Admissions Open |  PG Engineering |  VITMEE | Apply Now,28-01-2023,202643,336,Jan,Vellore
160,VITAA Day 2023,26-01-2023,3401,75,Jan,Vellore
161,74th Republic Day Celebrations,26-01-2023,4524,160,Jan,Vellore
162,MBA 2023 Admissions Open | MBA Applications | MBA Programme @ VITBS | VIT,26-01-2023,25503,26,Jan,Vellore
163,National Tourism Day | Students from the School of Hotel & Tourism Management (HOT),25-01-2023,760,20,Jan,Vellore
164,ADVOCATE V.C.RAJAGOPALACHARIAR (VCR) MEMORIAL LECTURE,24-01-2023,1449,33,Jan,Vellore
165,MBA 2023 Admissions Open | MBA Applications | Last Date to Apply : 05-March-2023,23-01-2023,54292,23,Jan,Vellore
166,NCC Students | Parade | Republic day | JaiHind,23-01-2023,2730,52,Jan,Vellore
167,Solo Singers | Western Solo Singing | PRIMAVERA 2022 |  Performers of VIT,22-01-2023,1239,25,Jan,Vellore
168,Riviera 2023 | The Riviera Phenomenon | Expo 2023 | TheHypeisReal,20-01-2023,16559,750,Jan,Vellore
169,MBA 2023 Admissions Open | MBA Applications | Last Date to Apply : 05-March-2023,15-01-2023,57352,57,Jan,Vellore
170,VIT wishes a very Happy Pongal,15-01-2023,6250,189,Jan,Vellore
171,Winner of Western Solo Dance | PrimaVera2022,14-01-2023,7272,121,Jan,Vellore
172,VITAA DAY | Alumni reunion | Get together,13-01-2023,761,7,Jan,Vellore
173,Pongal Festival,11-01-2023,2242,79,Jan,Vellore
174,Our Hon'ble Chancellor Dr. G. Viswanathan exclusive interview on the News7 Tamil channel,10-01-2023,22477,375,Jan,Vellore
175,Riviera2023 Coming Soon | Vellore Institute of Technology | The Riviera Phenomenon | Events | Fests,08-01-2023,179516,745,Jan,Vellore
176,Hand Painting competition in VIT | PRIMAVERA 2022 | VIT Painters,07-01-2023,754,7,Jan,Vellore
177,MBA 2023 Admissions Open | MBA Applications | MBA Programme @ VITBS | VIT,07-01-2023,80508,156,Jan,Vellore
178,VITEEE 2023 Applications | B.Tech Admissions | VIT Engineering Entrance Exam,07-01-2023,2022252,1256,Jan,Vellore
179,Watch this Our Hon'ble Chancellor Dr. G. Viswanathan exclusive interview on the News7 Tamil channel,06-01-2023,1628,33,Jan,Vellore
180,New Year Wishes from VIT Students | VIT Wishes you Happy New Year 2023,01-01-2023,3681,74,Jan,Vellore
181,"New Year wishes from our Hon'ble Chancellor, Dr. G. Viswanathan (Tamil)",01-01-2023,1509,45,Jan,Vellore
182,VIT Placement Records | Placement at VIT | Placement Statistics | VITEEE 2023,31-12-2022,144450,311,Dec,Vellore
183,"New Year Wishes from our Hon'ble Chancellor, Dr. G. Viswanathan",30-12-2022,3662,164,Dec,Vellore
184,2022 Ranking and Accreditation | VIT Milestones | VITEEE 2023 Applications Open,29-12-2022,45090,36,Dec,Vellore
185,Prima Vera2022 | Solo Singing | Eastern Music | Performers of VIT,25-12-2022,1156,33,Dec,Vellore
186,VITEEE 2023 Applications | B.Tech Admissions | VIT Engineering Entrance Exam,23-12-2022,19826,21,Dec,Vellore
187,"MBA Applications Open | CAT, XAT, MAT, NMAT, GMAT, CMAT, ATMA Exams Score Considered for Admission",23-12-2022,348261,268,Dec,Vellore
188,National Mathematics Day 2022 |  Students and Faculty Speaks about Importance of Mathematics | VIT,22-12-2022,859,30,Dec,Vellore
189,Goa Liberation Day |  VIT wishes the students from Goa,19-12-2022,956,25,Dec,Vellore
190,Hackathon on Tamil Computing,19-12-2022,736,17,Dec,Vellore
191,VIT | PrimaVera 2022 | Winner of the Eastern dance (Solo),17-12-2022,2473,66,Dec,Vellore
192,VIT Engineering Entrance Examination | 2023 Applications Open | B.Tech 4 Year Programmes,16-12-2022,58734,66,Dec,Vellore
193,VITEEE 2023  | How to apply | VIT Engineering Entrance Examination 2023 |  B. Tech. Admissions,12-12-2022,79443,1057,Dec,Vellore
194,B.Tech 2023 Admissions  | UG Engineering Applications | VITEEE 2023 |  Engineering Admissions @ VIT,09-12-2022,147044,254,Dec,Vellore
195,VIT wishes our Hon'ble Chancellor Birthday,08-12-2022,1498,68,Dec,Vellore
196,Vibrant Campus Life at VIT | B.Tech 2023 Admissions Open | VITEEE 2023,04-12-2022,1297,34,Dec,Vellore
197,MBA 2023 | Admissions | Application Open | Apply Now | VITBS | VIT,01-12-2022,56851,28,Dec,Vellore
198,VITEEE 2023 Applications open for B.Tech Programmes,22-11-2022,1614250,49,Nov,Vellore
199,VIT Vellore Campus | The kaleidoscopic views of our boys' hostel | Hostels at VIT,20-11-2022,1653,51,Nov,Vellore
200,Inauguration of student council 2022-23,15-11-2022,1919,34,Nov,Vellore
201,School of InformationTechnology and Engineering (SITE) hosted a 'Code-A-Thon' event | Events at VIT,12-11-2022,1931,53,Nov,Vellore
202,AICTE Distinguished Chair Professor Lecture on Emerging Technologies and Technology Foresight,10-11-2022,1622,45,Nov,Vellore
203,Happy Uttarakhand Divas | Uttarakhand Foundation Day | Uttarakhand Day,09-11-2022,668,34,Nov,Vellore
204,VIT Vellore Campus in Rainy Season | Student's Life in VIT Campus,06-11-2022,1540,59,Nov,Vellore
205,27th National Conference on IC Engines and Combustion (NCICEC 2022) - Inaugural Function,05-11-2022,1072,37,Nov,Vellore
206,Students Life in VIT | Campus Life | Dance Club | Student Activities,29-10-2022,4221,114,Oct,Vellore
207,VIT wishes Happy Deepavali to everyone,24-10-2022,2330,99,Oct,Vellore
208,Inauguration of Pavendhar Bharathidasan Tamil Literary Association,19-10-2022,2427,55,Oct,Vellore
209,Roverx Team |  VIT Students Team | Robotics Project | Space Exploration |  graVITas 2022,13-10-2022,1401,36,Oct,Vellore
210,"Gravitas22 Team Work | Techno Event | fun, frolic, and frenzy moments",11-10-2022,5442,157,Oct,Vellore
211,Festives of VIT | Garba Night | Campus Life | Student Activities | Life at VIT,08-10-2022,3881,75,Oct,Vellore
212,World Space Week (WSW) - 2022,07-10-2022,570,21,Oct,Vellore
213,Freshers Hockey Tournament in VIT,06-10-2022,946,25,Oct,Vellore
214,Robot Doing Pooja | Ayudha Poojai | Robotics | Automation,04-10-2022,16171,474,Oct,Vellore
215,VIT wishes Happy Dussehra to all!,03-10-2022,2348,85,Oct,Vellore
216,graVITas 2022 - An International Techno-Management Knowledge Carnival (Valedictory),02-10-2022,3578,90,Oct,Vellore
217,graVITas 2022 - An International Techno-Management Knowledge Carnival (Inauguration),30-09-2022,9340,212,Sep,Vellore
218,VIT Placements |  1'st Institution in India to cross 3000+ Super Dream Offers,27-09-2022,26608,126,Sep,Vellore
219,graVITas' 22 | India's Largest Techno Management Fest |  VIT,23-09-2022,15336,618,Sep,Vellore
220,graVITas' 22 | Unleash your Genius | VIT,21-09-2022,9937,423,Sep,Vellore
221,STARS Induction -  First year UG Programme (2022 Batch),18-09-2022,3670,92,Sep,Vellore
222,Happy Parents | Happy with VIT,18-09-2022,5478,109,Sep,Vellore
223,Fresher's Induction Programme  (2022 Batch) - 17-Sep-2022 (Saturday) - All 2 year PG Programmes,17-09-2022,5523,130,Sep,Vellore
224,Fresher's Induction Programme  (2022 Batch) - 16-Sep-2022 - All 3 year UG & 5 Year Int. Programmes,16-09-2022,8036,154,Sep,Vellore
225,Fresher's Induction Programme  (2022 Batch) - 14-Sep-2022 (Wednesday),14-09-2022,12912,270,Sep,Vellore
226,Happy Parents | Happy with VIT,13-09-2022,5167,113,Sep,Vellore
227,"Fresher's Induction Programme  (2022 Batch) - 12-Sep-2022, Monday",12-09-2022,16735,336,Sep,Vellore
228,Fresher's Induction Programme  (2022 Batch) - 09-Sep-2022 (Friday),09-09-2022,19254,381,Sep,Vellore
229,Fresher's Induction Programme  (2022 Batch) - 07-Sep-2022 (Wed),07-09-2022,57420,916,Sep,Vellore
230,Teachers' Day | Special Video | VIT,05-09-2022,4649,141,Sep,Vellore
231,Happy Ganesh Chaturthi | VIT,30-08-2022,3379,142,Aug,Vellore
232,The joys of campus life | Life @ VIT,23-08-2022,3617,125,Aug,Vellore
233,37th Annual Convocation,18-08-2022,41031,976,Aug,Vellore
234,75th Independence Day Celebration,15-08-2022,11436,393,Aug,Vellore
235,VITEEE 2023 | B. Tech. Application Open |  VIT Placement offer of 1.2 Crores per annum from MOTORQ,09-08-2022,30831,664,Aug,Vellore
236,Nostalgic Journey from VEC to VIT | The rewinding and revisiting of memories of the #Batchof1997,04-08-2022,4696,68,Aug,Vellore
237,Pre placement talk by Silicon Labs | Campus Hiring 2023  | VIT,28-07-2022,11895,154,Jul,Vellore
238,Remembrance of Dr A.P.J. Abdul Kalam | VIT,27-07-2022,1276,61,Jul,Vellore
239,Reunion of 1997 passed out Batch,24-07-2022,3183,113,Jul,Vellore
240,VITEEE 2022 | B.Tech. | Counselling Process | Choice Filling | Seat Allotment | Fee Details - Hindi,12-07-2022,15696,193,Jul,Vellore
241,VITEEE 2022 | B.Tech. | Counselling Process | Choice Filling | Seat Allotment | Fee Details,08-07-2022,91423,1359,Jul,Vellore
242,"Bhujangasana pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",21-06-2022,493,8,Jun,Vellore
243,"Pavanamuktasana pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",21-06-2022,323,5,Jun,Vellore
244,"Vakrasana Pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",21-06-2022,228,4,Jun,Vellore
245,"Vrikshasana pose by Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",21-06-2022,224,9,Jun,Vellore
246,"Tadasana pose by  Dr. N.V. Thiyagachanthan, Physical Education Director at VIT",16-06-2022,553,11,Jun,Vellore
247,"Prof. Seeram Ramakrishna, a doctorate from the prestigious Cambridge University visited VIT",15-06-2022,875,18,Jun,Vellore
248,Career in Design Webinar | VIT| V-SIGN,10-06-2022,581,10,Jun,Vellore
249,Ethics and Values - Virtual Poster Exhibition on Life Beyond Pandemic - SSL,09-06-2022,1255,45,Jun,Vellore
250,World Environment Day | VIT,07-06-2022,501,27,Jun,Vellore
251,International Admissions 2022-23 | Vellore Institute of Technology | India| Vellore | Tamil Nadu,31-05-2022,1489,42,May,Vellore
252,STARS DAY 2022 (5th Annual STARS ALUMNI MEET),29-05-2022,8622,283,May,Vellore
253,B.Sc. (Hons.) Agriculture | VIT | Applications Open,20-05-2022,2659,47,May,Vellore
254,VIT School of Hotel & Tourism Management (HOT) | B.Sc. Catering and Hotel Management | Apply now,13-05-2022,1718,39,May,Vellore
255,"Ms. Poorna Sri, VIT on winning the Silver Medal in the Weightlifting",28-04-2022,1494,49,Apr,Vellore
256,VITEEE 2022 Preparation Tips | VITEEE 2022 Exam Pattern | VITEEE Exam Dates | VITEEE Counselling,18-04-2022,15645,553,Apr,Vellore
257,VIT | B.Tech. Admissions | VITEEE 2022 | Course Details | Campus Life | Placements,13-04-2022,23250,502,Apr,Vellore
258,"Special Guest Lecture on “Moving beyond Doctorate: Convert your thesis in to a Startup Venture """,08-04-2022,775,19,Apr,Vellore
259,Placement Testimonial | Vellore Institute of Technology,05-04-2022,3954,123,Apr,Vellore
260,Placement Testimonial | Vellore Institute of Technology,30-03-2022,4827,106,Mar,Vellore
261,Placement Testimonials | Vellore Institute of Technology,30-03-2022,6924,77,Mar,Vellore
262,Placement Testimonials | Vellore Institute of Technology,30-03-2022,1513,21,Mar,Vellore
263,Placement Testimonial | Vellore Institute of Technology,25-03-2022,1885,39,Mar,Vellore
264,Happiness Day 2022 @ VIT,24-03-2022,13934,421,Mar,Vellore
265,Holi Celebrations @ VIT,24-03-2022,4119,73,Mar,Vellore
266,International women's day 2022,24-03-2022,465,18,Mar,Vellore
267,International women's day 2022 | Time to celebrate the women at VIT!,24-03-2022,491,7,Mar,Vellore
268,VIT Riviera – the biggest fest in South India | Join today | VITEEE 2022,24-03-2022,9061,181,Mar,Vellore
269,VIT Chancellor Dr. G Viswanathan | International Women's Day 2022,14-03-2022,2224,63,Mar,Vellore
270,Inaugural - Invictus 2022,10-03-2022,1099,40,Mar,Vellore
271,VITEEE 2022 | B.Tech. Admissions 2022  | Apply Now,16-02-2022,5498,118,Feb,Vellore
272,VIT Chancellor Dr. G Viswanathan on World Radio Day - 2022 | VIT Community Radio,13-02-2022,2865,75,Feb,Vellore
273,B.Tech. Admissions | VITEEE 2022 | Applications Open,11-02-2022,2411,30,Feb,Vellore
274,VITEEE 2022 |  B.Tech. Applications open | Apply Now,11-02-2022,2469,40,Feb,Vellore
275,VIT B. Tech. Admissions | VITEEE 2022,11-02-2022,724,9,Feb,Vellore
276,Last day to apply for the VITBEE applications. Apply now!,31-01-2022,791,21,Jan,Vellore
277,73rd Republic Day Celebration,26-01-2022,5193,286,Jan,Vellore
278,Virtual 8th International Conference on Mathematics and Computing - (ICMC-2022),06-01-2022,1830,57,Jan,Vellore
279,Periyar E V R Central Library - VIT,04-01-2022,8372,180,Jan,Vellore
280,Virtual Poster Exhibition - 2021,27-11-2021,3176,165,Nov,Vellore
281,ICTAAS2021 - Inauguration,12-11-2021,1557,58,Nov,Vellore
282,36th Annual Convocation,28-09-2021,33849,1266,Sep,Vellore
283,Student Induction for First year B.Tech Programme (2021 Batch),06-09-2021,51931,1599,Sep,Vellore
284,"Facilities | Centre for Biomaterials, Cellular and Molecular Theranostics (CBCMT) | VIT",25-08-2021,3010,57,Aug,Vellore
285,UG Science and Humanities Choice filling - Video,22-08-2021,2631,50,Aug,Vellore
286,75th Independence Day Celebration,15-08-2021,3652,194,Aug,Vellore
287,MBA Orientation Program (2021-2023 Batch),14-07-2021,4960,129,Jul,Vellore
288,An interview from Industry Leader on Hotel and Tourism Management Career,03-07-2021,1215,25,Jul,Vellore
289,Toycathon 2021 - Inauguration,22-06-2021,2129,72,Jun,Vellore
290,VIT requests all student aspirants who are appearing for the VITEEE 2021 Exams to follow the rules,31-05-2021,16408,460,May,Vellore
291,Programmes Offered in 2021-22,22-05-2021,2626,88,May,Vellore
292,Only 1 day left for VITEEE 2021,19-05-2021,2034,44,May,Vellore
293,VIT  -  COVID19 Awareness Programme,08-05-2021,2366,71,May,Vellore
294,Vellore Institute of Technology Live Stream,17-03-2021,7152,240,Mar,Vellore
295,International Women's Day,17-03-2021,2459,114,Mar,Vellore
296,6th Biennial International Group Theory Conference – 2021,04-03-2021,903,30,Mar,Vellore
297,ICMDCS 2021 -  Inaugural Function,12-02-2021,811,25,Feb,Vellore
298,72nd Republic Day Celebration,26-01-2021,1488,57,Jan,Vellore
299,Virtual Poster Exhibition 2021,13-01-2021,3435,95,Jan,Vellore
300,Walkthrough video of VIT-Vermicomposting unit,11-11-2020,2014,49,Nov,Vellore
301,Walkthrough video of new ladies hostel blocks “Marie Curie Block” & “Dr. Muthulakshmi Reddy Block”,11-11-2020,76927,964,Nov,Vellore
302,"Inauguration of Ladies Hostels  “Marie Curie”, ""Dr. Muthulakshmi Reddy"" Block & Vermicomposting Unit",11-11-2020,2736,45,Nov,Vellore
303,35th Annual Convocation - 2020,17-10-2020,5489,39,Oct,Vellore
304,STARS 2020 Orientation,17-10-2020,2421,80,Oct,Vellore
305,graVITas 2020 - Valedictory Session,04-10-2020,1935,52,Oct,Vellore
306,graVITas 2020 - Inaugural Session,01-10-2020,3120,140,Oct,Vellore
307,VIT School of Design (V-SIGN),24-09-2020,13257,234,Sep,Vellore
308,VITian Day 2020!,11-09-2020,1558,43,Sep,Vellore
309,VIT University Day 2020,09-09-2020,4813,85,Sep,Vellore
310,"Hostels, VIT",07-09-2020,108969,1017,Sep,Vellore
311,"Periyar EVR Central Library, VIT",04-09-2020,5621,121,Sep,Vellore
312,"School of Hotel & Tourism Management (HOT), VIT",03-09-2020,3114,107,Sep,Vellore
313,VIT School of Planning and Architecture,02-09-2020,5933,113,Sep,Vellore
314,VIT School of Agricultural Innovations and Advanced Learning (VAIAL),01-09-2020,11897,280,Sep,Vellore
315,National Workshop on “Technical writing and presentation with Latex”,29-08-2020,589,16,Aug,Vellore
316,"Department of Physical Education, VIT",29-08-2020,11395,240,Aug,Vellore
317,National Workshop on “Technical writing and presentation with Latex”,29-08-2020,801,20,Aug,Vellore
318,Virtual International Transdisciplinary Conference (VITC-2020),28-08-2020,459,12,Aug,Vellore
319,Virtual International Transdisciplinary Conference (VITC-2020),28-08-2020,295,9,Aug,Vellore
320,"School of Mechanical Engineering (SMEC), VIT",28-08-2020,9458,203,Aug,Vellore
321,Virtual International Transdisciplinary Conference (VITC-2020),27-08-2020,439,18,Aug,Vellore
322,"School of Advanced Sciences (SAS), VIT",27-08-2020,4817,114,Aug,Vellore
323,Virtual International Transdisciplinary Conference (VITC-2020),27-08-2020,423,13,Aug,Vellore
324,Virtual International Transdisciplinary Conference (VITC-2020),26-08-2020,594,22,Aug,Vellore
325,Virtual International Transdisciplinary Conference (VITC-2020),26-08-2020,1258,50,Aug,Vellore
326,"School of Social Sciences & Languages (SSL), VIT",25-08-2020,1267,35,Aug,Vellore
327,"School of Information Technology & Engineering (SITE), VIT",21-08-2020,3140,87,Aug,Vellore
328,"School of Electrical Engineering (SELECT), VIT",20-08-2020,4824,106,Aug,Vellore
329,"School of Chemical Engineering (SCHEME), VIT",19-08-2020,4538,108,Aug,Vellore
330,"School of Civil Engineering (SCE), VIT",18-08-2020,6549,155,Aug,Vellore
331,"School of Electronics Engineering (SENSE), VIT",17-08-2020,10182,206,Aug,Vellore
332,"School of Computer Science & Engineering (SCOPE), VIT.",16-08-2020,14680,283,Aug,Vellore
333,"School of Bio Sciences & Technology (SBST),  VIT",15-08-2020,18502,405,Aug,Vellore
334,74th Independence Day Celebration,15-08-2020,1511,64,Aug,Vellore
335,"VIT Alumni Association, a quick Snapshot",13-08-2020,553,12,Aug,Vellore
336,"VIT Alumni Association (VITAA)-We Share, We Care!",13-08-2020,1955,44,Aug,Vellore
337,VIT Chennai,12-08-2020,66442,568,Aug,Vellore
338,VIT AP,12-08-2020,22735,236,Aug,Vellore
339,VIT Vellore & Overview,10-08-2020,31912,137,Aug,Vellore
340,VIT Bhopal,10-08-2020,15074,94,Aug,Vellore
341,"Industry Perspectives on Placements and Training, at VIT!",07-08-2020,1391,25,Aug,Vellore
342,VIT Placements,07-08-2020,9170,132,Aug,Vellore
343,Industry Experts on VIT,07-08-2020,4587,42,Aug,Vellore
344,VIT-SIH2020 Valedictory,04-08-2020,999,55,Aug,Vellore
345,Inauguration of Smart India Hackathon (SIH-2020),01-08-2020,3263,135,Aug,Vellore
346,The Placements And Training (PAT) at VIT,30-07-2020,17485,259,Jul,Vellore
347,VIT Online Learning (VITOL),25-07-2020,3132,57,Jul,Vellore
348,COVID-19 Disease Control - Opportunities and Challenges for Drug Discovery and Development,25-07-2020,1011,39,Jul,Vellore
349,COVID-19 Disease Control - Opportunities and Challenges for Drug Discovery and Development,24-07-2020,578,22,Jul,Vellore
350,COVID-19 Disease Control - Opportunities and Challenges for Drug Discovery and Development,24-07-2020,1156,51,Jul,Vellore
351,"""Sales Skills are Life Skills"" by Prof. Deva Rangarajan, Ball State University, Indianapolis, USA",21-07-2020,244,4,Jul,Vellore
352,"“Dara, analytics, and Positioning for Financial Services” by Mr. Srinivasan Ramanujam.",21-07-2020,96,0,Jul,Vellore
353,“Become a leader in the Tech Industry win your dream job or promotion to achieve Growth”,21-07-2020,102,3,Jul,Vellore
354,"“Changing Consumer Behaviour leads to New Avenues of Business”, By Ms. Likitha Bhanu, Hyderabad",21-07-2020,49,1,Jul,Vellore
355,"“Effective Business Management System through ISO Standards”, by Mr.V.Premkumar, UAE",21-07-2020,57,0,Jul,Vellore
356,"“On COVID-19 Coronavirus” by Dr. Suganya Chandramohan, MD Internal Medicine, Michigan, USA",21-07-2020,166,2,Jul,Vellore
357,"“UX design as a career path in the world of AI” by Suresh Kumar TS, Google Inc, Seattle, USA",21-07-2020,165,5,Jul,Vellore
358,Evaluation and genome analysis of SARS - CoV 2 by Dr Prasanth Manohar,21-07-2020,214,5,Jul,Vellore
359,"“Carving a Career in Bio-Research” by Dr. M. Siva Sankari, MIT, Cambridge, USA",21-07-2020,138,13,Jul,Vellore
360,One day Virtual Conference Careers in Cyber Security Analysis and Auditing,19-07-2020,1727,67,Jul,Vellore
361,Academic Staff College-VIT,09-07-2020,1509,26,Jul,Vellore
362,One Day International Virtual Conference on Recent Trends in Plant Genetics and Genomics,07-07-2020,1412,64,Jul,Vellore
363,One Day International Virtual Conference on Recent Trends in Plant Genetics and Genomics,07-07-2020,3533,141,Jul,Vellore
364,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),05-07-2020,775,36,Jul,Vellore
365,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),05-07-2020,922,31,Jul,Vellore
366,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),04-07-2020,797,29,Jul,Vellore
367,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),04-07-2020,532,12,Jul,Vellore
368,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),04-07-2020,1020,41,Jul,Vellore
369,M.Tech. Nanotechnology at VIT,03-07-2020,776,11,Jul,Vellore
370,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",01-07-2020,841,34,Jul,Vellore
371,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",01-07-2020,4253,93,Jul,Vellore
372,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",30-06-2020,4354,100,Jun,Vellore
373,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",30-06-2020,5485,154,Jun,Vellore
374,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),27-06-2020,758,18,Jun,Vellore
375,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),27-06-2020,795,20,Jun,Vellore
376,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),26-06-2020,893,25,Jun,Vellore
377,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),26-06-2020,1494,40,Jun,Vellore
378,International Virtual Conference on Immersive Education with VR/AR (ICEVAR'20),25-06-2020,888,23,Jun,Vellore
379,International Virtual Conference on Immersive Education with VR/AR (ICEVAR'20),25-06-2020,636,35,Jun,Vellore
